Product Description,Price(Dollar),Number of  reviews,Free days,Shipment
"Skytech Blaze 3.0 Gaming PC Desktop ñ Intel i5-10400F, RX 6600XT, 1TB NVME, 16G DDR4 3200, AC Wi-Fi, Windows 10 Home 64-bit, White",480,17,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 14"" HD Touchscreen Display Laptop, AMD Ryzen 3 3250U (Up to 3.5GHZ, Beat i5-7200U), 16GB DDR4 RAM, 512GB SSD, AMD Radeon Graphics, HDMI, Webcam, Windows 11 S, Anti Bacterial KB","1,499",1,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS TUF Gaming F17 (2023) Gaming Laptop, 17.3î FHD 144Hz Display, GeForce RTX 4060, AMD Ryzen 7 7735HS, 16GB DDR5, 1TB PCIe 4.0 SSD, Wi-Fi 6, Windows 11, FA707NV-ES74","1,099",13,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS AiO 27î All-in-One Desktop Computer, AMD Ryan 7 5700U, 27î LED-Backlit Touchscreen Display with NanoEdge Bezel, 16GB DDR4 RAM, 512GB PCIe SSD, Wired Keyboard and Mouse, Black, Windows 11 Home","2,149",6,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Precision 3000 3571 15.6" Mobile Workstation - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-12800H Dodeca-core (12 Core) 2.40 GHz - 16 GB Total RAM - 512 GB SSD - Titan Gray,"2,369",446,90 days FREE. Terms apply.,Ships to Bangladesh
"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel i9-13900KF 3.0GHz, GeForce RTX 4070 Ti 12GB, 16GB DDR5, 2TB NVMe SSD, Wi-Fi Ready & Windows 11 Home (GXiVR8720A), White","2,099",1,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Zenbook Pro 16 Laptop 16"" 165Hz Refresh Rate Display, Intel i7-12650H CPU, DialPad, NVidia GeForce RTX 3070 Ti Graphics, 32GB RAM, 1TB SSD, Windows 11 Home, Tech Black, UX6601ZW-DB76",435,355,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 15.6-inch HD Laptop, AMD Ryzen 3 3200U Processor, 8 GB RAM, 256 GB SSD, Windows 10 Home (15-ef0021nr, Natural Silver)","2,877",40,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 9000 9430 14" Touchscreen Convertible 2 in 1 Notebook - QHD+ - 2560 x 1600 - Intel Core i7 12th Gen i7-1265U Deca-core (10 Core) 1.10 GHz - Intel Evo Platform - 32 GB Total RAM - 32 GB,980,,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 3000 3420 14" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1145G7 Quad-core (4 Core) 2.60 GHz - 8 GB RAM - 256 GB SSD - Black,"1,099",,90 days FREE. Terms apply.,Ships to Bangladesh
"Acer Swift X 14 SFX14-71G-5911 Creator Laptop | 14.5"" 2560 x 1600 (120Hz, 100% sRGB) | Intel i5-13500H | NVIDIA RTX 3050 Laptop GPU | 16GB LPDDR5 | 512GB Gen 4 SSD | Killer Wi-Fi 6E | Backlit KB",250,,90 days FREE. Terms apply.,Ships to Bangladesh
HP 14" Touchscreen Chromebook - Intel Celeron N3350 - 4GB Memory - 32GB eMMC - WiFi & Bluetooth - Webcam - Gray,749,,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,65,90 days FREE. Terms apply.,Ships to Bangladesh
"Skytech Blaze 3.0 Gaming PC Desktop ñ Intel Core i5 12400F 2.5 GHz, RTX 3060, 500GB SSD, 16G DDR4 3200, 600W Gold PSU, AC Wi-Fi, Windows 10 Home 64-bit",899,63,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Inspiron 15.6-inch Full HD Touch-Screen Intel i5-1035G1 12GB 256GB SSD Win 10 Laptop,480,20,90 days FREE. Terms apply.,Ships to Bangladesh
Cooler Master HAF 5 Pro High Performance Gaming PC Desktop - Intel i7 12700F - NVIDIA GeForce RTX 3060 Ti - 16GB DDR4 3200MHz - 1TB M.2 NVMe SSD ñ WiFi - Windows 11 - Desktop Computer,"1,399",616,90 days FREE. Terms apply.,Ships to Bangladesh
"LG Gram 16î Lightweight Laptop, Intel 13th Gen Core i7 Evo Platform, Windows 11 Home, 16GB RAM, 1TB SSD, Gray","1,499",26,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Chromebook Flip CX3, 14"" Touchscreen FHD NanoEdge Display, Intel Core i7-1160G7 Processor, 512GB SSD, 16GB RAM, Garaged Stylus, Backlit Keyboard, Wi-Fi 6, Chrome OS, AI Blue, CX3400FMA-DH762T-S",929,1,90 days FREE. Terms apply.,Ships to Bangladesh
"HP Chromebook 11-inch Laptop - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OSô - (11a-na0030nr, 2020 model, Indigo Blue)","1,996",51,90 days FREE. Terms apply.,Ships to Bangladesh
"LG gram 15.6î OLED Laptop, Intel 13th Gen Core i7 Evo Platform, Windows 11 Home, 32GB RAM, 2TB SSD, Neptune Blue",697,41,90 days FREE. Terms apply.,Ships to Bangladesh
"2021 Dell Inspiron 7000 2-in-1 13.3"" FHD Touchscreen Laptop Computer, Intel Core i5-1135G7, 8GB RAM, 512GB PCIe SSD, Backlit Keyboard, Intel Iris Xe Graphics, HD Webcam, MaxxAudio, Windows 11, Silver",239,8,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 2023 15'' FHD IPS Laptop, Windows 11, Intel Pentium Processor Up to 3.10GHz, 4GB RAM, 256GB SSD, HDMI, Super-Fast 6th Gen WiFi (Renewed)",710,25,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 3000 3520 15.6" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1145G7 Quad-core (4 Core) 2.60 GHz - 8 GB Total RAM - 256 GB SSD - Black,"1,458",3,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS VivoBook Pro 16X Laptop, 16"" WQUXGA 16:10 Display, Intel Core i7-12650H CPU, NVIDIA GeForce RTX 3050 Ti, 32GB RAM, 1TB SSD, Windows 11 Home, DialPad, Earl Grey, N7600ZE-EB77",279,1,90 days FREE. Terms apply.,Ships to Bangladesh
"New Lenovo IdeaPad 3 15.6"" FHD Screen Laptop - Intel Pentium Silver N5030 4GB RAM 128GB SSD, HDMI, 802.11 Wireless-AC, Windows 11 ONE Year Office",609,11,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 5420 I5 11-1135 G7 8GB,"3,576",108,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ROG Strix GA35 Gaming Desktop PC, GeForce RTX 3090, AMD Ryzen 9 5900X, 32GB DDR4 RAM, 1TB PCIe SSD + 2TB HDD, Dual Hot-Swap SSD Bays, ROG Scope & Chakram, Windows 11 Professional, GA35DX-XH999",672,336,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS VivoBook 17X Laptop, 17.3"" FHD Display, AMD Ryzen 5 5600H CPU, AMD Radeon Graphics, 8GB RAM, 512GB SSD, Fingerprint Sensor, Windows 11 Home, Quiet Blue, S1703QA-AS51",853,46,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Vivobook S 14 Flip 14î WUXGA 16:10 Touch, AMD Ryzen 5 5600H CPU, 16GB RAM, 512GB SSD, NumberPad, Fingerprint Sensor, Stylus Supported, Windows 11 Home, Quiet Blue, TN3402QA-DB56T","1,227",,90 days FREE. Terms apply.,Ships to Bangladesh
"LG gram (2022) 16Z90Q Ultra Lightweight Laptop, 16"" (2560 x 1600) IPS Display, Intel Evo 12th Gen i7 1260P Processor, 16GB LPDDR5, 1TB NVMe SSD, FHD Webcam, WiFi 6E, Thunderbolt 4, Windows 11, Black","1,649",,90 days FREE. Terms apply.,Ships to Bangladesh
"SAMSUNG 14î Galaxy Book3 Pro Laptop Computer, 13th Gen Intel Core i7-1360P Processor / 16GB / 1TB, 3K AMOLED Screen, 120hz, Fingerprint Reader, FHD Webcam, 2023 Model, NP940XFG-KC1US, Graphite","1,799",,90 days FREE. Terms apply.,Ships to Bangladesh
"Skytech Shiva Gaming PC Desktop - AMD Ryzen 5 5600X 3.7GHz, RTX 3080 10GB GDDR6X, 16GB DDR4 3200, 1TB NVMe SSD, 750W Gold PSU, AC WiFi, Windows 11 Home 64-bit",75,,90 days FREE. Terms apply.,Ships to Bangladesh
Samsung Galaxy Tab E 8 16GB 4G (Verizon) (Renewed),199,,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,26,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Stealth GS77 17.3"" QHD 240Hz Ultra Thin & Light Gaming Laptop: Intel Core i7-12700H RTX 3080 Ti 32GB DDR5 1TB NVMe SSD, USB-Type C, Thunderbolt 4, CNC Aluminum, Win11 Pro: Core Black 12UHS-083","2,349",2,90 days FREE. Terms apply.,Ships to Bangladesh
"CyberpowerPC Gamer Supreme Liquid Cool Gaming PC, AMD Ryzen 9 7950X 4.5GHz, GeForce RTX 4090 24GB, 16GB DDR5, 2TB NVMe SSD, 2TB HDD, WiFi Ready & Win 11 Home (SLC8314A2), Black","3,799",97,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS VivoBook S15 S533 Thin and Light Laptop, 15.6î FHD Display, Intel Core i5-1135G7 Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 10 Home, Indie Black, S533EA-DH51",641,442,90 days FREE. Terms apply.,Ships to Bangladesh
LG 24CN670NK6N 24î IPS FHD All-in-One Thin Client for Medical & Healthcare with Dual-Band RFID & Quad-core Processor,605,19,90 days FREE. Terms apply.,Ships to Bangladesh
HP ZBook Firefly 14 G9 14" Mobile Workstation - WUXGA - 1920 x 1200 - Intel Core i7 12th Gen i7-1270P Dodeca-core (12 Core) - 16 GB Total RAM - 512 GB SSD,"1,818",111,90 days FREE. Terms apply.,Ships to Bangladesh
"Acer Aspire 5 A515-56-363A, 15.6"" Full HD IPS Display, 11th Gen Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB NVMe SSD, WiFi 6, Backlit Keyboard, Windows 10 Home (S mode)",315,97,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS VivoBook 15 Slim Laptop, 15.6 inch FHD Display, Intel Core i5-1240P CPU, Intel Iris Xe Graphics, 8GB RAM, 512GB SSD, Fingerprint Sensor, Windows 11 Home, Quiet Blue, F1502ZA-DS52",699,190,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo Chromebook 3 11 11.6"" Laptop Computer for Business Student, AMD A6-9220C up to 2.7GHz, 4GB LPDDR4 RAM, 32GB eMMC, 2x2 AC WiFi, Bluetooth 4.2, Webcam, Remote Work, Chrome OS, iPuzzle Type-C HUB",284,150,90 days FREE. Terms apply.,Ships to Bangladesh
"2022 HP 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.80GHz, 4GB RAM, 64GB SSD, Cobalt Blue (Renewed)",196,89,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad P16s G1 21BT001MUS 16" Mobile Workstation - WUXGA - 1920 x 1200 - Intel Core i7 12th Gen i7-1260P Dodeca-core (12 Core) 3.40 GHz - 32 GB Total RAM - 1 TB SSD - Black,"2,130",886,90 days FREE. Terms apply.,Ships to Bangladesh
"AWOW Touchscreen Laptop with Stylus, 2 in 1 11.6"" FHD Purple Intel 4 Core Celeron N4120 Processor Windows 11 OS 6GB RAM 256GB M.2 SSD Storage Kids Convertible Laptop",300,121,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS VivoBook 15 OLED K513 Thin & Light Laptop, 15.6 OLED Display, Intel i5-1135G7 CPU, Intel Iris Xe Graphics, 12GB RAM, 512GB PCIe SSD, Fingerprint Reader, Windows 10 Home, Indie Black, K513EA-AB54",799,956,90 days FREE. Terms apply.,Ships to Bangladesh
"Newest HP 14"" Flagship Laptop, Windows 11 OS, AMD Dual-Core Processor Up to 2.60 GHz, 4GB RAM, 64GB SSD, Webcam, Silver (Renewed)",195,4,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Swift Go 14 Intel Evo Thin & Light Laptop | 14" 1920 x 1200 100% sRGB Touch Display | Intel Core i7-13700H | Intel Iris Xe | 16GB LPDDR5 | 512GB Gen 4 SSD | Killer WiFi 6E AX1675 | SFG14-71T-71SZ,899,20,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo Tab M10 HD 10.1"" Tablet, Android 9.0, 16GB Storage, Quad-Core Processor, WiFi, Bluetooth, ZA4G0000US, Slate Black",149,1,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo IdeaCentre AIO 3i 24"" All-in-One Computer, Intel Core i3-10100T, FHD Display, 8GB RAM, 1TB HDD, 256GB SSD, DVD RW Drive, Windows 10",706,,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Aspire 5 15 Slim Laptop | 15.6" FHD (1920 x 1080) IPS | Intel Core i7-1355U | NVIDIA GeForce RTX 2050 | 16GB DDR4 | 1TB Gen 4 SSD | Wi-Fi 6E | USB4/Thunderbolt 4 | Backlit KB | A515-58GM-76KW,999,,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 7320 I7/3.0 16GB 256GB W10P,906,,90 days FREE. Terms apply.,Ships to Bangladesh
Apple iPad (8th Gen.) - 128GB - WiFi - Gold (Renewed Premium),380,,90 days FREE. Terms apply.,Ships to Bangladesh
"HP Chromebook 11, 11.6"", Celeron, 4GB, 16GB, Chrome OS",129,,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Chromebook 315 Laptop | Intel Pentium Silver N6000 | 15.6" Full HD IPS Touch | Intel UHD Graphics | 8GB LPDDR4X | 64GB eMMC | Wi-Fi 6 | DTS Audio | Chrome OS | CB315-4HT-P8PQ,439,,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Laptop L410 Ultra Thin Laptop, 14î FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 128GB Storage, NumberPad, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L410MA-DS04",225,,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Vivobook 15X OLED Laptop, 15.6î FHD OLED Display, AMD Ryzenô 7 7730U CPU, 16GB RAM, 1TB SSD, Windows 11 Home, Indie Black, S3504YA-DS77",799,,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,14,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo Ideapad 5i Pro Laptop, 16"" QHD 2.5K IPS Display, Intel Core i5-11300H, GeForce MX450, 8GB RAM, 1TB SSD, IR Camera, Backlit Keyboard, WiFi 6, Windows 11 Home",630,1,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS VivoBook Pro 16 Laptop, 16î Display, Intel Core i9-13900H CPU, NVIDIAÆ GeForceÆ RTXô 4060 GPU, 16GB RAM, 512GB SSD, Windows 11 Home, Quiet Blue, K6602VV-DS94","1,499",276,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Summit E16 Flip 16"" QHD+ 165Hz Touch 2-in-1 Laptop: Intel Core i7-1360P, RTX 4060, 32GB DDR5, 2TB NVMe SSD, 360 Flip, Pen, Win 11 Pro: Ink Black A13VFT-060US","2,199",255,90 days FREE. Terms apply.,Ships to Bangladesh
"2022 Newest Lenovo IdeaPad 3i Laptop, 15.6"" FHD Anti-Glare Display, Intel Core i3-1115G4 Processor, Intel UHD Graphics, 8GB DDR4 RAM, 256GB PCIe SSD, Fingerprint Reader, Windows 11",369,380,90 days FREE. Terms apply.,Ships to Bangladesh
"ROG Strix GA15DK Gaming Desktop PC, AMD Ryzen 7 5800X, GeForce RTX 3070, 16GB DDR4 RAM, 512GB SSD + 1TB HDD, Wi-Fi 5, Windows 10 Home, GA15DK-AS776","1,855",22,90 days FREE. Terms apply.,Ships to Bangladesh
"HP Chromebook 4GB RAM, 16GB eMMC with Chrome OS, Black",186,5,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Laptop L510 Ultra Thin Laptop, 15.6î FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 10 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-DH02",223,12,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Chromebook CX1, 15.6"" Full HD NanoEdge Display, Intel Celeron N4500 Processor, 64GB eMMC Storage, 4GB RAM, Chrome OS, Transparent Silver, CX1500CKA-DH44F",299,42,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo THINKPAD C13 Yoga GEN 1 CHROMEBOOK, AMD ATHLON Gold 3150C (2.40GHZ, 1MB), 13.3 1",199,32,90 days FREE. Terms apply.,Ships to Bangladesh
Dell OptiPlex 7000 7410 Plus All-in-One Computer - Intel Core i7 13th Gen i7-13700 Hexadeca-core (16 Core) 2.10 GHz - 16 GB RAM DDR5 SDRAM - 512 GB M.2 PCI Express NVMe SSD - 23.8" Full HD 1920 x,"1,699",1,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS [Windows 11 S] R410 14"" Lightweight Laptop, Intel Celeron N4020 Processor, 4GB DDR4 RAM, 192GB Storage (128GB eMMC + 64GB Flash Drive), 802.11AC WiFi, Bluetooth 4.1, Type-C, Star Black",209,200,90 days FREE. Terms apply.,Ships to Bangladesh
"Acer Chromebook Spin 513 R841LT-S6DJ | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | Qualcomm Snapdragon 7c Compute Platform | 8GB LPDDR4X | 128GB eMMC | 4G LTE | WiFi 5 | Chrome OS, Gray",699,95,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ExpertCenter D700SD Small Form Factor Desktop PC, Intel Core i5-12400, 16GB DDR4 RAM, 512GB PCIe SSD, TPM, Windows 11 Pro, Black, D700SD-XH504",879,30,90 days FREE. Terms apply.,Ships to Bangladesh
Microsoft Surface Laptop 4 13.5" Touch Screen - Intel Core i5 - 16GB - 512GB with Windows 11 (Latest Model) - Platinum,"1,390",17,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS VivoBook 14"" FHD 1080p Laptop, Intel Core i3-1115G4, 8GB RAM, 512GB PCIe SSD, Backlit Keyboard, HDMI, WiFi, Webcam, Windows 11 Home, Slate Grey",424,40,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 2023 15'' HD IPS Laptop, Intel i3-1115G4 Processor Up to 4.10GHz, 8GB RAM, 256GB NVMe SSD, Intel 4K Graphics, Ultra-Fast WiFi, Windows 11 (Renewed)",299,45,90 days FREE. Terms apply.,Ships to Bangladesh
"Thermaltake Arctic i360T R4 AIO Liquid Cooled Gaming Desktop (Intel Coreô i5-12600KF, Toughram DDR4 3600Mhz 16GB Memory, NVIDIAÆ GeForce RTXô 3060 Ti, 1TB NVMe M.2, Win10 Home) P3AR-Z69R-36T-LCS","1,299",3,90 days FREE. Terms apply.,Ships to Bangladesh
HP ZBook Power G9 15.6" Mobile Workstation - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-12800H Tetradeca-core (14 Core) - 32 GB Total RAM - 512 GB SSD,"2,215",56,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Modern 14 Professional Laptop: 14"" IPS-Level Thin Bezel Display, Intel Core i5-1135G7, Intel Iris Xe, 8GB RAM, 512GB NVMe SSD, Win10, Carbon Gray (B11MO-210)",793,,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 14 Laptop, Qualcomm Snapdragon 7c Processor, 8 GB RAM, 128 GB eMMC, 14-inch Full HD Touchscreen, Windows 11 Home, Thin & Portable, Long Battery Life, Wi-Fi 5 & Bluetooth 5 Combo (14-ed0010nr, 2021)",342,,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 2022 14"" Touchscreen Laptop, Windows 11, AMD 3020e Processor, 4GB RAM, 64GB SSD, HDMI, Sparkling Silver (Renewed)",249,,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Chromebook 514 CB514-2H CB514-2H-K2HN 14" Chromebook - Full HD - 1920 x 1080 - Octa-core (ARM Cortex A76 Quad-core (4 Core) 2.60 GHz + Cortex A55 Quad-core (4 Core) 2 GHz) - 8 GB RAM - 64 GB,477,,90 days FREE. Terms apply.,"Get it Fri, Jun 30 - Mon, Jul 17"
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,2,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Katana GF76 17.3"" 144Hz FHD Gaming Laptop: Intel Core i9-12900H RTX 3070 Ti 16GB 1TB NVMe SSD, Type-C USB 3.2 Gen 1, High-ResoluTion Audio, Cooler Boost 5, Win11 Home: Black 12UGSK-831","1,749",310,90 days FREE. Terms apply.,"Get it Thu, Jun 22 - Wed, Jul 5"
"iBUYPOWER Pro Gaming PC Computer Desktop SlateMR 215a (AMD Ryzen 5 5600G 3.9 GHz,AMD Radeon RX 6600XT 8GB, 16GB DDR4, 480 GB SSD, WiFi Ready, Windows 11 Home)","1,251",58,90 days FREE. Terms apply.,Ships to Bangladesh
"Dell Inspiron 15 3502 Intel(R) Celeron(R) Processor N4020 Processor 128GB Solid State Drive 4GB, 1x4GB, DDR4 15.6-inch HD (1366 x 768) Anti-Glare LED-Backlit Non-Touch Narrow Border Displa",305,4,90 days FREE. Terms apply.,Ships to Bangladesh
Dell OptiPlex 5000 Desktop Computer - Intel Core i7 12th Gen i7-12700T Dodeca-core (12 Core) 1.40 GHz - 16 GB RAM DDR4 SDRAM - 256 GB M.2 PCI Express NVMe 3.0 x4 SSD - Micro PC - Black,"1,140",23,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 2022 Convertible 2-in-1 Chromebook, 14"" FHD IPS Touchscreen, Intel Pentium Processor up to 3.28GHz, 8GB Ram, 128GB SSD, Super-Fast 6th Gen WiFi, Chrome OS(Renewed)",279,7,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Chromebook Spin 513 Convertible Laptop | Qualcomm Snapdragon 7c | 13.3" FHD IPS Touch Corning Gorilla Glass Display | 8GB LPDDR4X | 64GB eMMC | WiFi 5 | Backlit KB | Chrome OS | CP513-1H-S338,459,54,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 11"" HD IPS Chromebook, Intel Celeron Processor Up to 2.40GHz, 2GB RAM, 64GB MicroSD, Super-Fast WiFi, HDMI, Chrome OS(Renewed)",89,1,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 9000 9420 14" Touchscreen 2 in 1 Notebook - QHD+ - 2560 x 1600 - Intel EVO Core i7 (11th Gen) i7-1185G7 Quad-core (4 Core) 3 GHz - 16 GB RAM - 256 GB SSD - Titan Gray,"1,302",16,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ExpertBook B5 Thin & Light Flip Business Laptop, 14î FHD, Intel Core i7-1260P, 1TB SSD, 16GB DDR5 RAM, All Day Battery, Enterprise-Grade Video Conference, NumberPad, Win 11 Pro, B5402FBA-XVE75T","1,652",17,90 days FREE. Terms apply.,Ships to Bangladesh
Corsair Vengeance a7300 Series Gaming PC - Liquid Cooled AMD Ryzenô 7 7700X CPU - NVIDIAÆ GeForce RTXô 4070 Graphics - 32GB Vengeance RGB DDR5 5600MHz Memory - 1TB M.2 NVMe SSD - Black,"2,499",483,90 days FREE. Terms apply.,Ships to Bangladesh
HP ZBook Firefly 14 G9 14" Touchscreen Mobile Workstation - WUXGA - 1920 x 1200 - Intel Core i7 12th Gen i7-1265U Deca-core (10 Core) - 32 GB Total RAM - 512 GB SSD,"2,392",192,90 days FREE. Terms apply.,Ships to Bangladesh
"HP Pavilion 14 FHD Spin 2-in-1 Convertible Touchscreen Laptop, 2023 Newest Upgrade, Intel Core i5-1135G7, 32GB RAM, 1TB SSD, HDMI, FP Reader, Windows 11, School and Business Ready, ROKC HDMI Cable",699,5,90 days FREE. Terms apply.,Ships to Bangladesh
"QNAP TBS-464-8G-US 4 Bay M.2 NVMe SSD NASbook Intel Celeron N5105/N5095 4-core CPU, 8GB DDR4 Memory, and 2.5GbE (1G/100M/10M) Network Connectivity (Diskless)",599,36,90 days FREE. Terms apply.,Ships to Bangladesh
"Skytech Chronos Gaming PC Desktop ñ Intel Core i5 12600K 3.7 GHz, NVIDIA RTX 3080, 1TB NVME SSD, 16GB DDR4 RAM 3200, 850W Gold PSU, 11 AC Wi-Fi, Windows 11 Home 64-bit","1,799",11,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Predator Triton 500 SE Gaming/Creator Laptop | 12th Gen Intel i7-12700H | GeForce RTX 3070 Ti | 16" WQXGA 240Hz G-SYNC Display | 16GB LPDDR5 | 1TB Gen 4x4 SSD | Killer Wi-Fi 6E | PT516-52s-73YD,"2,243",55,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Aspire TC-1770-UR12 Desktop | 13th Gen Intel Core i5-13400 10-Core Processor | 16GB 3200MHz DDR4 | 512GB M.2 2280 PCIe Gen 4 SSD | SD Card Reader | Intel Wi-Fi 6E AX211 | Windows 11 Home,649,161,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Summit E16 Flip 16"" QHD+ 165Hz Touch 2-in-1 Laptop: Intel Core i7-1360P, RTX 4050, 32GB DDR5, 1TB NVMe SSD, 360 Flip, Pen, Win 11 Pro: Ink Black A13VET-076US","1,999",,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ExpertCenter PN64 Mini PC Barebone with Intel Core i3-1220P Mobile Processor, up to 64GB DDR5 RAM, Dual Storage Design, WiFi 6E, Bluetooth, USB-C with VESA Mount",330,,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ROG Strix G15 (2021) Gaming Laptop, 15.6‚Äù 144Hz IPS Type FHD Display, NVIDIA GeForce RTX 3050, AMD Ryzen 7 4800H, 8GB DDR4, 512GB PCIe NVMe SSD, RGB Keyboard, Windows 10, G513IC-EB73",999,,90 days FREE. Terms apply.,Ships to Bangladesh
"Skytech Blaze Gaming PC Desktop ñ AMD Ryzen 5 5600G 3.9 GHz, NVIDIA RTX 3060, 500GB NVME SSD, 16GB DDR4 RAM 3200, 600W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit",999,,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ExpertBook P2451 Thin & Light Business Laptop, 14î FHD, Intel Core i3-10110U, 128GB SSD, 8GB RAM, Backlit Keyboard, Military-Grade, Fingerprint, Wi-Fi 6, TPM 2.0, Win10 Pro, P2451FA-XH33",649,,90 days FREE. Terms apply.,Ships to Bangladesh
"Corsair ONE PRO a200 Compact Workstation-Class PC - AMD Ryzenô 9 5950X CPU - NVIDIAÆ GeForce RTXô 3080 Graphics - 64GB Vengeance LPX DDR4 Memory, 2TB, Windows 10 Pro","3,299",,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ZenBook 14 Ultra-Slim Laptop 14î Full HD NanoEdge Display, Intel Core i5-1135G7, 8GB RAM, 512GB PCIe SSD, NumberPad, Thunderbolt 4, Windows 10 Home, AI noise-cancellation, Pine Grey, UX425EA-EH51",829,,90 days FREE. Terms apply.,Ships to Bangladesh
